Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4640.89 4640.8924 21547.59 300 "" "" "" "18.61270528  -   21.2842647" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[1/2]* | 0" "" "" L3469
4641.742 4641.7637 21543.63 700 "" "" "" "18.71137667  -   21.3824346" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 1" "" "" L3469
4644.482 4644.477 21530.93 50 "" "" "" "18.72638145  -   21.395879" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 2" "" "" L3469
4645.231 4645.226 21527.45 20 "" "" "" "18.72638145  -   21.395449" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).9d  | 2[1/2]* | 1" "" "" L3469
4646.134 4646.1299 21523.27 400 "" "" "" "18.61270528  -   21.2812531" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 1" "" "" L3469
4646.7187 4646.718 21520.5623 3000 "" "" "" "18.61270528  -   21.28091538" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[5/2]* | 2" "" "" L3451
4647.186 4647.1896 21518.4 10 "" "" "" "18.61270528  -   21.28064461" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 2" "" "" L3469
4651.2059 4651.2084 21499.801 700 "" "" "" "18.57583601  -   21.24147014" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 1" "" "" L7292
4653.404 4653.4074 21489.65 300 "" "" "" "18.69335943  -   21.3577339" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 1" "" "" L3469
4655.002 4655.0204 21482.27 500 "" "" "" "18.69335943  -   21.3568107" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 0" "" "" L3469
4657.6972 4657.6963 21469.8368 3000 "" "" "" "18.38162323  -   21.04354431" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" "" L3451
4662.4103 4662.4095 21448.1338 1500 "" "" "" "18.38162323  -   21.04085339" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 0" "" "" L3451
4664.397 4664.3977 21439.0 400 "" "" "" "18.69335943  -   21.3514561" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[5/2]* | 2" "" "" L3469
4664.824 4664.824 21437.04 200 "" "" "" "18.69335943  -   21.351213" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 1" "" "" L3469
4667.96 4667.9863 21422.63 500 "" "" "" "18.72638145  -   21.3824346" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 1" "" "" L3469
4668.6709 4668.6713 21419.372 1000 "" "" "" "18.72638145  -   21.3820449" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 2" "" "" L4498
4672.1915 4672.1913 21403.232 700 "" "" "" "18.70407118  -   21.3577339" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 1" "" "" L7292
4679.5274 4679.5271 21369.679 3000 "" "" "" "18.63679156  -   21.2862943" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[5/2]* | 3" "" "" L7292
4679.9202 4679.9184 21367.886 500 "" "" "" "18.61270528  -   21.2619865" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 1" "" "" L4498
4680.4447 4680.4457 21365.491 1500 "" "" "" "18.63679156  -   21.2857743" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 2" "" "" L7292
4681.677 4681.6771 21359.867 1000 "" "" "" "18.63679156  -   21.2850775" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[7/2]* | 3" "" "" L4498
4682.51 4682.5102 21356.07 500 "" "" "" "18.63679156  -   21.2846064" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[1/2]* | 1" "" "" L3469
4683.24 4683.2357 21352.74 200 "" "" "" "18.70407118  -   21.3514758" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[5/2]* | 3" "" "" L3469
4683.456 4683.4637 21351.75 200 "" "" "" "18.61270528  -   21.2599810" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 2" "" "" L3469
4684.221 4684.222 21348.27 100 "" "" "" "18.70407118  -   21.3509183" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 2" "" "" L3469
4684.549 4684.5508 21346.77 50 "" "" "" "18.70407118  -   21.35073261" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[7/2]* | 3" "" "" L3469
4685.075 4685.0893 21344.38 300 "" "" "" "18.71137667  -   21.3577339" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 1" "" "" L3469
4688.9829 4688.9826 21326.587 1000 "" "" "" "18.63679156  -   21.28095151" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).6d  | 2[5/2]* | 3" "" "" L7292
4689.503 4689.5269 21324.22 20 "" "" "" "18.63679156  -   21.28064461" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 2" "" "" L3469
4692.893 4692.8961 21308.82 150 "" "" "" "18.69335943  -   21.3353143" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 1" "" "" L3469
4696.677 4696.662 21291.65 200 "" "" "" "18.71137667  -   21.351213" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 1" "" "" L3469
4698.257 4698.2662 21284.49 50 "" "" "" "18.71137667  -   21.3503118" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).8d  | 2[1/2]* | 1" "" "" L3469
4701.784 4701.7932 21268.52 50 "" "" "" "18.38162323  -   21.01857880" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[5/2]* | 2" "" "" L3469
4703.8464 4703.8448 21259.198 1500 162000.0 0.00054 C "18.38162323  -   21.01742872" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 1" "" T6976 L4498
4705.7113 4705.7112 21250.7726 15000 2100000.0 0.0116 C+ "18.38162323  -   21.01638327" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T6976 L3451
4710.1769 4710.1759 21230.625 12000 3260000.0 0.0108 C+ "18.38162323  -   21.01388581" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[1/2]* | 1" "" T6976 L4498
4711.3829 4711.3816 21225.191 10000 4090000.0 0.00453 C+ "18.38162323  -   21.01321219" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[1/2]* | 0" "" T6976 L4498
4711.8061 4711.8051 21223.284 300 "" "" "" "18.72638145  -   21.3577339" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 1" "" "" L4498
4713.3817 4713.3808 21216.19 15000 "" "" "" "18.55510805  -   21.18558079" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).6d  | 2[5/2]* | 3" "" "" L4498
4713.459 4713.4588 21215.842 150 "" "" "" "18.72638145  -   21.3568107" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 0" "" "" L4498
4713.459 4713.4653 21215.842 150 "" "" "" "18.55510805  -   21.18553364" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).6d  | 2[5/2]* | 2" "" "" L4498
4714.119 4714.1168 21212.87 100 "" "" "" "18.70407118  -   21.3341332" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 2" "" "" L3469
4715.6587 4715.6576 21205.945 700 "" "" "" "18.55510805  -   21.18431077" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 2" "" "" L4498
4716.444 4716.4431 21202.414 300 "" "" "" "18.61270528  -   21.24147014" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 1" "" "" L4498
4716.5772 4716.5732 21201.815 300 "" "" "" "18.55510805  -   21.18380040" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).6d  | 2[7/2]* | 3" "" "" L4498
4716.6633 4716.6634 21201.429 15000 "" "" "" "18.55510805  -   21.18375011" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).6d  | 2[7/2]* | 4" "" "" L7292
4718.9284 4718.929 21191.252 700 "" "" "" "18.61270528  -   21.24008531" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 0" "" "" L4498
4722.8546 4722.8569 21173.635 700 "" "" "" "18.63679156  -   21.2619865" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 1" "" "" L4498
4723.471 4723.51 21170.87 50 "" "" "" "18.72638145  -   21.351213" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 1" "" "" L3469
4724.035 4724.041 21168.34 150 "" "" "" "18.72638145  -   21.3509183" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 2" "" "" L3469
4725.131 4725.1199 21163.43 700 "" "" "" "18.71137667  -   21.3353143" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 1" "" "" L3469
4725.131 4725.133 21163.43 700 "" "" "" "18.72638145  -   21.3503118" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[1/2]* | 1" "" "" L3469
4725.484 4725.479 21161.86 50 "" "" "" "18.72638145  -   21.350120" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[1/2]* | 0" "" "" L3469
4726.4668 4726.4676 21157.453 700 "" "" "" "18.63679156  -   21.2599810" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 2" "" "" L7292
4750.9037 4750.9028 21048.6269 3000 "" "" "" "18.57583601  -   21.18553364" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[5/2]* | 2" "" "" L3451
4752.0112 4752.0157 21043.721 300 "" "" "" "18.57583601  -   21.18492247" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 1" "" "" L4498
4753.131 4753.1301 21038.76 300 "" "" "" "18.57583601  -   21.18431077" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 2" "" "" L3469
4754.0612 4754.0602 21034.6474 5000 "" "" "" "18.57583601  -   21.18380040" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[7/2]* | 3" "" "" L3451
4754.452 4754.4478 21032.92 10 "" "" "" "18.72638145  -   21.3341332" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 2" "" "" L3469
4755.77 4755.77 21027.09 1000 "" "" "" "18.57583601  -   21.18286278" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 1" "" "" L3469
4760.0587 4760.0575 21008.144 1500 "" "" "" "18.63679156  -   21.24147014" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 1" "" "" L7292
4781.6745 4781.6742 20913.176 3000 "" "" "" "18.69335943  -   21.2862629" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[5/2]* | 2" "" "" L7292
4782.221 4782.2173 20910.79 300 "" "" "" "18.69335943  -   21.2859685" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 1" "" "" L3469
4782.576 4782.5755 20909.24 20 "" "" "" "18.69335943  -   21.2857743" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 2" "" "" L3469
4785.359 4785.362 20897.07 20 "" "" "" "18.69335943  -   21.2842647" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[1/2]* | 0" "" "" L3469
4790.2645 4790.2636 20875.674 10000 "" "" "" "18.55510805  -   21.14336221" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" "" L7292
4790.9371 4790.9309 20872.743 1000 "" "" "" "18.69335943  -   21.2812531" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 1" "" "" L4498
4791.5586 4791.5562 20870.036 5000 "" "" "" "18.69335943  -   21.28091538" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[5/2]* | 2" "" "" L4498
4792.067 4792.0577 20867.82 300 "" "" "" "18.69335943  -   21.28064461" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 2" "" "" L3469
4801.4527 4801.4518 20827.03 150 "" "" "" "18.70407118  -   21.2862943" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[5/2]* | 3" "" "" L7292
4802.418 4802.4189 20822.84 20 "" "" "" "18.70407118  -   21.2857743" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 2" "" "" L3469
4803.705 4803.7154 20817.26 100 "" "" "" "18.70407118  -   21.2850775" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[7/2]* | 3" "" "" L3469
4804.568 4804.592 20813.53 10 "" "" "" "18.70407118  -   21.2846064" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[1/2]* | 1" "" "" L3469
4810.844 4810.8438 20786.37 100 "" "" "" "18.70407118  -   21.2812531" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 1" "" "" L3469
4811.4084 4811.4069 20783.9353 1500 "" "" "" "18.70407118  -   21.28095151" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).6d  | 2[5/2]* | 3" "" "" L3451
4811.9837 4811.98 20781.45 1000 "" "" "" "18.70407118  -   21.28064461" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 2" "" "" L4498
4815.683 4815.6837 20765.48 500 "" "" "" "18.71137667  -   21.2859685" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 1" "" "" L3469
4818.246 4818.233 20754.44 10 "" "" "" "18.71137667  -   21.2846064" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).7d  | 2[1/2]* | 1" "" "" L3469
4818.985 4818.9844 20751.2579 3000 "" "" "" "18.61270528  -   21.18553364" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[5/2]* | 2" "" "" L3451
4820.1314 4820.1294 20746.323 1500 "" "" "" "18.61270528  -   21.18492247" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 1" "" "" L4498
4821.284 4821.276 20741.36 700 "" "" "" "18.61270528  -   21.18431077" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 2" "" "" L3469
4823.2693 4823.2689 20732.825 3000 "" "" "" "18.57583601  -   21.14637893" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 1" "" "" L4498
4824.5203 4824.5198 20727.449 1000 "" "" "" "18.71137667  -   21.2812531" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 1" "" "" L4498
4824.718 4824.699 20726.6 500 "" "" "" "18.61270528  -   21.1824863" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 0" "" "" L3469
4826.877 4826.8665 20717.33 500 "" "" "" "18.69335943  -   21.2619865" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 1" "" "" L3469
4828.6869 4828.6872 20709.564 10000 "" "" "" "18.38162323  -   20.94928177" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" "" L7292
4828.936 4828.9361 20708.496 3000 "" "" "" "18.57583601  -   21.14336221" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" "" L7292
4830.637 4830.638 20701.2 50 "" "" "" "18.69335943  -   21.2599810" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 2" "" "" L3469
4838.6655 4838.6644 20666.8554 5000 "" "" "" "18.38162323  -   20.94398733" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" "" L3451
4843.919 4843.9142 20644.44 100 "" "" "" "18.72638145  -   21.2859685" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 1" "" "" L3469
4844.294 4844.2816 20642.84 500 "" "" "" "18.72638145  -   21.2857743" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 2" "" "" L3469
4846.499 4846.493 20633.45 150 "" "" "" "18.72638145  -   21.2846064" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[1/2]* | 1" "" "" L3469
4847.121 4847.141 20630.8 50 "" "" "" "18.72638145  -   21.2842647" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[1/2]* | 0" "" "" L3469
4850.885 4850.8831 20614.8 300 "" "" "" "18.70407118  -   21.2599810" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 2" "" "" L3469
4852.856 4852.8543 20606.42 600 "" "" "" "18.72638145  -   21.2812531" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 1" "" "" L3469
4854.0107 4854.0104 20601.521 1000 "" "" "" "18.72638145  -   21.28064461" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 2" "" "" L7292
4860.961 4860.963 20572.06 150 "" "" "" "18.71137667  -   21.2619865" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 1" "" "" L3469
4864.4394 4864.4351 20557.353 1000 "" "" "" "18.63679156  -   21.18558079" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[5/2]* | 3" "" "" L4498
4865.7317 4865.7304 20551.894 300 "" "" "" "18.69335943  -   21.24147014" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 1" "" "" L4498
4866.8656 4866.8602 20547.105 1000 "" "" "" "18.63679156  -   21.18431077" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 2" "" "" L4498
4867.8353 4867.8354 20543.012 800 "" "" "" "18.63679156  -   21.18380040" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[7/2]* | 3" "" "" L7292
4868.3784 4868.3763 20540.721 700 "" "" "" "18.69335943  -   21.24008531" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 0" "" "" L4498
4869.6364 4869.6281 20535.414 700 "" "" "" "18.63679156  -   21.18286278" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 1" "" "" L4498
4884.767 4884.7711 20471.81 150 "" "" "" "18.57583601  -   21.11401428" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 1" "" "" L3469
4886.2812 4886.2824 20465.4615 10000 415000.0 0.00208 C+ "18.57583601  -   21.11322925" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).5d  | 2[5/2]* | 3" "" T6976 L3451
4886.4614 4886.4583 20464.707 1000 102000.0 0.000366 C "18.57583601  -   21.11313791" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T6976 L4498
4889.73 4889.7284 20451.03 50 "" "" "" "18.72638145  -   21.2619865" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 1" "" "" L3469
4893.4561 4893.4557 20435.455 5000 "" "" "" "18.61270528  -   21.14637893" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 1" "" "" L7292
4893.594 4893.5988 20434.88 100 "" "" "" "18.72638145  -   21.2599810" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 2" "" "" L3469
4899.292 4899.2891 20411.11 700 "" "" "" "18.61270528  -   21.14336221" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" "" L3469
4900.381 4900.3802 20406.58 500 "" "" "" "18.71137667  -   21.24147014" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 1" "" "" L3469
4929.6107 4929.6154 20285.577 700 "" "" "" "18.72638145  -   21.24147014" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 1" "" "" L7292
4932.32 4932.3312 20274.43 500 "" "" "" "18.72638145  -   21.24008531" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 0" "" "" L3469
4940.4196 4940.4217 20241.196 1000 "" "" "" "18.63679156  -   21.14637893" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 1" "" "" L7292
4946.3672 4946.3676 20216.857 1000 "" "" "" "18.63679156  -   21.14336221" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" "" L7292
4956.7734 4956.7726 20174.414 1500 269000.0 0.00099 C "18.61270528  -   21.11401428" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 1" "" T6976 L4498
4958.4169 4958.4157 20167.7275 10000 1060000.0 0.00653 C+ "18.61270528  -   21.11318538" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[5/2]* | 2" "" T6976 L3451
4958.5054 4958.5098 20167.367 1500 341000.0 0.00209 C+ "18.61270528  -   21.11313791" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T6976 L7292
