Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4257.696 4257.689 23486.88 20 "" "" "" "18.61270528  -   21.524712" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 2" "" "" L3469
4257.696 4257.689 23486.88 20 "" "" "" "18.61270528  -   21.524712" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 2" "" "" L3469
4260.938 4260.925 23469.01 10 "" "" "" "18.55510805  -   21.464903" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).13s | 2[3/2]* | 2" "" "" L3469
4263.679 4263.678 23453.92 20 "" "" "" "18.57583601  -   21.483753" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).13d | 2[7/2]* | 3" "" "" L3469
4268.487 4268.488 23427.5 10 "" "" "" "18.38162323  -   21.2862629" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[5/2]* | 2" "" "" L3469
4268.925 4268.9208 23425.1 50 "" "" "" "18.38162323  -   21.2859685" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 1" "" "" L3469
4269.2098 4269.2062 23423.538 700 "" "" "" "18.38162323  -   21.2857743" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 2" "" "" L4498
4270.924 4270.9238 23414.137 700 "" "" "" "18.38162323  -   21.2846064" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[1/2]* | 1" "" "" L4498
4271.427 4271.4266 23411.38 500 "" "" "" "18.38162323  -   21.2842647" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[1/2]* | 0" "" "" L4498
4275.8647 4275.8629 23387.083 500 "" "" "" "18.38162323  -   21.2812531" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 1" "" "" L4498
4276.37 4276.361 23384.32 10 "" "" "" "18.38162323  -   21.28091538" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[5/2]* | 2" "" "" L3469
4276.7622 4276.7604 23382.175 700 "" "" "" "18.38162323  -   21.28064461" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 2" "" "" L4498
4280.054 4280.043 23364.19 50 "" "" "" "18.55510805  -   21.451906" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).11d | 2[5/2]* | 3" "" "" L3469
4280.483 4280.483 23361.85 150 "" "" "" "18.55510805  -   21.451608" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).11d | 2[7/2]* | 4" "" "" L3469
4284.447 4284.446 23340.23 100 "" "" "" "18.57583601  -   21.469657" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).12d | 2[7/2]* | 3" "" "" L3469
4289.748 4289.734 23311.39 50 "" "" "" "18.55510805  -   21.445362" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).12s | 2[3/2]* | 2" "" "" L3469
4291.006 4290.993 23304.56 20 "" "" "" "18.57583601  -   21.465242" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).13s | 2[3/2]* | 1" "" "" L3469
