Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
6000.661 6000.66 16664.83 5 140000.0 0.00076 D "13.09487256  -   15.1610486" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<3/2>).5d  | 2[5/2]* | 2" "" T1218n L2634
6026.819 6026.818 16592.5 5 900000.0 0.0029 D+ "13.30222747  -   15.3594356" "3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<1/2>).7s  | 2[1/2]* | 1" "" T1218n L2634
6033.797 6033.797 16573.31 70 2460000.0 0.0173 C "13.07571571  -   15.13054437" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<3/2>).5d  | 2[7/2]* | 4" "" T1218n,T1164n L2634
6044.896 6044.897 16542.88 35 1470000.0 0.0113 C "13.09487256  -   15.14592830" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<3/2>).5d  | 2[7/2]* | 3" "" T1218n L2634
6054.399 6054.399 16516.92 10 190000.0 0.0017 D+ "12.90701530  -   14.95485204" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T1218n L2634
6061.05 6061.05 16498.79 20 420000.0 0.0039 C "12.90701530  -   14.95260474" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" T1218n,T1164n L2634
6100.491 6100.491 16392.12 7 520000.0 0.0029 D+ "13.15314387  -   15.18550800" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<3/2>).7s  | 2[3/2]* | 1" "" T1218n L2634
6107.325 6107.325 16373.78 10 1210000.0 0.0113 C "13.28263902  -   15.31272913" "3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<1/2>).5d  | 2[5/2]* | 2" "" T1218n L2634
6147.142 6147.142 16267.72 10 760000.0 0.006 C "13.30222747  -   15.31916801" "3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<1/2>).5d  | 2[5/2]* | 3" "" T1218n L2634
6171.881 6171.881 16202.51 7 500000.0 0.0029 C "13.17177770  -   15.18063359" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" T1218n L2634
6174.804 6174.805 16194.85 10 670000.0 0.0064 C "13.15314387  -   15.1610486" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<3/2>).5d  | 2[5/2]* | 2" "" T1218n L2634
6214.222 6214.222 16092.12 10 390000.0 0.0032 D+ "13.17177770  -   15.1669463" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<3/2>).5d  | 2[5/2]* | 3" "" T1218n L2634
6217.658 6217.658 16083.23 5 570000.0 0.0033 D+ "13.30222747  -   15.29629325" "3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T1218n L2634
6298.613 6298.614 15876.51 7 900000.0 0.0089 D+ "13.32785705  -   15.29629325" "3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T1218n L2634
6309.401 6309.401 15849.36 15 600000.0 0.0036 D+ "13.17177770  -   15.13684847" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T1218n L2634
6371.336 6371.336 15695.295 7 420000.0 0.0015 D+ "13.17177770  -   15.11774638" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<3/2>).5d  | 2[1/2]* | 1" "" T1218n L2634
