Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4258.379 4258.378 23483.11 80 "" "" "" "37.8603113   -   40.7718471" "2s2.2p4.(1D).3d    | 2G    | 9/2" "2s2.2p4.(1D<2>).4f | 2[4]* | 9/2" "" "" L1406
4258.593 4258.597 23481.93 80 "" "" "" "37.8604491   -   40.7718350" "2s2.2p4.(1D).3d    | 2G    | 7/2" "2s2.2p4.(1D<2>).4f | 2[4]* | 7/2" "" "" L1406
4259.0009 4259.0004 23479.685 180 9600000.0 0.052 D "34.6440204   -   37.5551307" "2s2.2p4.(3P).3d    | 4D    | 1/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "" T1115CA,LS L9088
4263.642 4263.656 23454.13 40 "" "" "" "37.8603113   -   40.7682429" "2s2.2p4.(1D).3d    | 2G    | 9/2" "2s2.2p4.(1D<2>).4f | 2[3]* | 7/2" "" "" L1406
4268.583 4268.5928 23426.98 60 "" "" "" "34.7370230   -   37.6415915" "2s2.2p4.(3P).3d    | 4F    | 9/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 7/2" "" "" L1406
4291.581 4291.581 23301.436 180 "" "" "" "37.8603113   -   40.749321" "2s2.2p4.(1D).3d    | 2G    | 9/2" "2s2.2p4.(1D<2>).4f | 2[5]* | 11/2" "" "" L1406
4291.809 4291.81 23300.197 160 "" "" "" "37.8604491   -   40.749305" "2s2.2p4.(1D).3d    | 2G    | 7/2" "2s2.2p4.(1D<2>).4f | 2[5]* | 9/2" "" "" L1406
4295.48 4295.4929 23280.3 19 "" "" "" "36.00153059  -   38.8879095" "2s2.2p4.(3P).4p    | 4P*   | 5/2" "2s2.2p4.(3P).6s    | 4P    | 3/2" "" "" L11529c153
4299.303 4299.3062 23259.58 12 "" "" "" "34.7489205   -   37.6327393" "2s2.2p4.(3P).3d    | 2D    | 5/2" "2s2.2p4.(3P<1>).4f | 2[4]* | 7/2" "" "" L1406
4323.587 4323.587 23128.946 160 "" "" "" "37.8854700   -   40.7530932" "2s2.2p4.(1D).3d    | 2P    | 3/2" "2s2.2p4.(1D<2>).4f | 2[2]* | 5/2" "" "" L1406
4323.958 4323.961 23126.96 140 "" "" "" "34.77428890  -   37.6416644" "2s2.2p4.(3P).3d    | 2D    | 3/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L9088
4325.84 4325.8293 23116.92 30 "" "" "" "36.02771897  -   38.8938561" "2s2.2p4.(3P).4p    | 4P*   | 3/2" "2s2.2p4.(3P).6s    | 4P    | 1/2" "" "" L11529c153
4326.448 4326.451 23113.648 120 "" "" "" "37.8873702   -   40.7530955" "2s2.2p4.(1D).3d    | 2P    | 1/2" "2s2.2p4.(1D<2>).4f | 2[2]* | 3/2" "" "" L1406
4341.041 4341.0392 23035.949 160 "" "" "" "34.77428890  -   37.6303838" "2s2.2p4.(3P).3d    | 2D    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L9088
4341.24 4341.2382 23034.89 40 "" "" "" "34.77428890  -   37.6302529" "2s2.2p4.(3P).3d    | 2D    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L1406
4342.735 4342.7332 23026.966 160 "" "" "" "34.81442056  -   37.6694014" "2s2.2p4.(3P).3d    | 4F    | 5/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 7/2" "" "" L1406
