Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
6573.12 6573.106 15213.49 22 "" "" "" "37.5658308   -   39.4520653" "2s2.2p4.(3P<2>).4f | 2[1]* | 1/2" "2s2.2p4.(3P<2>).6g | 2[2]  | 3/2" "" "" L1406
6573.52 6573.504 15212.56 60 "" "" "" "37.5659481   -   39.4520685" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "2s2.2p4.(3P<2>).6g | 2[2]  | 5/2" "" "" L1406
7069.673 7069.6757 14144.93 80 "" "" "" "37.6314588   -   39.3852054" "2s2.2p4.(3P).5s    | 4P    | 3/2" "2s2.2p4.(1D).4p    | 2P*   | 3/2" "" "" L1406
7135.326 7135.3212 14014.78 40 "" "" "" "36.46207411  -   38.1996861" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "2s2.2p4.(1D).4s    | 2D    | 5/2" "" "" L1406
7215.198 7215.1962 13859.634 300 "" "" "" "34.77428890  -   36.4926649" "2s2.2p4.(3P).3d    | 2D    | 3/2" "2s2.2p4.(3P).4p    | 2P*   | 1/2" "" "" L5951
7237.1917 7237.1911 13817.5144 300 "" "" "" "34.7489205   -   36.46207411" "2s2.2p4.(3P).3d    | 2D    | 5/2" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "" "" L9088
7305.228 7305.22 13688.83 80 "" "" "" "37.6880053   -   39.3852054" "2s2.2p4.(3P).5s    | 2P    | 3/2" "2s2.2p4.(1D).4p    | 2P*   | 3/2" "" "" L1406
7345.968 7345.9702 13612.91 300 "" "" "" "34.77428890  -   36.46207411" "2s2.2p4.(3P).3d    | 2D    | 3/2" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "" "" L1406
7351.678 7351.6783 13602.34 40 "" "" "" "36.00153059  -   37.6880053" "2s2.2p4.(3P).4p    | 4P*   | 5/2" "2s2.2p4.(3P).5s    | 2P    | 3/2" "" "" L1406
7469.3 7469.3175 13388.14 60 "" "" "" "37.7457753   -   39.4056886" "2s2.2p4.(3P).5s    | 2P    | 1/2" "2s2.2p4.(1D).4p    | 2P*   | 1/2" "" "" L1406
7493.471 7493.4852 13344.95 60 "" "" "" "36.02771897  -   37.6822788" "2s2.2p4.(3P).4p    | 4P*   | 3/2" "2s2.2p4.(3P).5s    | 4P    | 1/2" "" "" L1406
7494.165 7494.1906 13343.71 200 "" "" "" "34.83826076  -   36.4926649" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P).4p    | 2P*   | 1/2" "" "" L1406
7524.893 7524.8949 13289.225 300 "" "" "" "34.81442056  -   36.46207411" "2s2.2p4.(3P).3d    | 4F    | 5/2" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "" "" L5951
7592.728 7592.7469 13170.5 60 "" "" "" "36.05507591  -   37.6880053" "2s2.2p4.(3P).4p    | 4P*   | 1/2" "2s2.2p4.(3P).5s    | 2P    | 3/2" "" "" L1406
7606.727 7606.7276 13146.26 60 "" "" "" "36.00153059  -   37.6314588" "2s2.2p4.(3P).4p    | 4P*   | 5/2" "2s2.2p4.(3P).5s    | 4P    | 3/2" "" "" L1406
7635.368 7635.3725 13096.95 140 "" "" "" "34.83826076  -   36.46207411" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "" "" L1406
7656.653 7656.6582 13060.54 180 "" "" "" "34.84277499  -   36.46207411" "2s2.2p4.(3P).3d    | 2F    | 5/2" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "" "" L1406
7691.905 7691.9107 13000.68 120 "" "" "" "34.8807871   -   36.4926649" "2s2.2p4.(3P).3d    | 2P    | 1/2" "2s2.2p4.(3P).4p    | 2P*   | 1/2" "" "" L1406
