Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4276.3623 4276.36267 23384.3609 35 26000000.0 0.14 D "19.801086565  -   22.700377572" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "3s2.3p4.(3P).5s    | 2P    | 3/2" "" T1240 L11520
4278.73161 4278.73157 23371.4124 1995 80000000.0 0.15 B "18.454114013  -   21.351799846" "3s2.3p4.(1D).4s    | 2D    | 5/2" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "" T926 L11520
4284.10222 4284.10232 23342.1133 68 13200000.0 0.0182 B "16.74852891   -   19.64258207" "3s2.3p4.(3P).4s    | 4P    | 3/2" "3s2.3p4.(3P).4p    | 4D*   | 1/2" "" T926 L11520
4287.5627 4287.5627 23323.274 6 "" "" "" "23.404027598  -   26.29574504" "3s2.3p4.(3P).5p    | 4P*   | 5/2" "3s2.3p4.(3P).7d    | 4D    | 7/2" "" "" L2634
4299.1723 4299.1735 23260.291 15 "" "" "" "21.42814610   -   24.31205385" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L11520
4301.659 4301.6641 23246.85 2 "" "" "" "21.42814610   -   24.31038415" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L14821
4301.85909 4301.8591 23245.7639 85 5700000.0 0.016 B "18.615942491  -   21.498049871" "3s2.3p4.(3P).3d    | 2F    | 5/2" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "" T926 L11520
4310.30511 4310.30512 23200.2136 93 "" "" "" "18.615942491  -   21.492402391" "3s2.3p4.(3P).3d    | 2F    | 5/2" "3s2.3p4.(1D).4p    | 2D*   | 3/2" "" "" L11520
4310.45055 4310.45062 23199.4311 120 "" "" "" "20.74354606   -   23.619908872" "3s2.3p4.(1S).4s    | 2S    | 1/2" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "" "" L11520
4328.5532 4328.55328 23102.407 3 "" "" "" "19.972538226  -   22.83687165" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "3s2.3p4.(3P).4d    | 4D    | 1/2" "" "" L2634
4330.6559 4330.6557 23091.191 8 "" "" "" "23.80181442   -   26.66475730" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "3s2.3p4.(1S).5s    | 2S    | 1/2" "" "" L11520
4332.41703 4332.41698 23081.8038 603 57400000.0 0.162 A "16.74852891   -   19.61030789" "3s2.3p4.(3P).4s    | 4P    | 3/2" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "" T926 L11520
4333.24754 4333.24757 23077.3802 162 19200000.0 0.027 B+ "16.44411446   -   19.30534490" "3s2.3p4.(3P).3d    | 4D    | 3/2" "3s2.3p4.(3P).4p    | 4P*   | 1/2" "" T926 L11520
4338.2899 4338.28983 23050.5574 54 34000000.0 0.19 D "21.42648951   -   24.28439443" "3s2.3p4.(1D).4p    | 2P*   | 1/2" "3s2.3p4.(1D).5s    | 2D    | 3/2" "" T1240 L11520
4339.4509 4339.45046 23044.39 6 "" "" "" "19.96749907   -   22.82463962" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "3s2.3p4.(1D).3d    | 2S    | 1/2" "" "" L11520
4347.1185 4347.11749 23003.744 9 "" "" "" "19.972538226  -   22.82463962" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "3s2.3p4.(1D).3d    | 2S    | 1/2" "" "" L11520
4349.28576 4349.2858 22992.2808 1995 117100000.0 0.4428 A "16.64385439   -   19.49453389" "3s2.3p4.(3P).4s    | 4P    | 5/2" "3s2.3p4.(3P).4p    | 4D*   | 7/2" "" T926 L11520
4353.42805 4353.42808 22970.4038 200 21200000.0 0.0602 B "16.45737782   -   19.30534490" "3s2.3p4.(3P).3d    | 4D    | 1/2" "3s2.3p4.(3P).4p    | 4P*   | 1/2" "" T926 L11520
4359.7165 4359.71625 22937.271 3 180000.0 0.00051 D "19.96749907   -   22.81135843" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "3s2.3p4.(3P).4d    | 4D    | 3/2" "" T926 L2634
4363.29195 4363.29197 22918.4754 78 5500000.0 0.024 B "18.656521057  -   21.498049871" "3s2.3p4.(3P).3d    | 2D    | 3/2" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "" T926 L11520
4369.05887 4369.05888 22888.2242 129 "" "" "" "20.74354606   -   23.58132422" "3s2.3p4.(1S).4s    | 2S    | 1/2" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "" "" L11520
4371.98114 4371.98119 22872.9258 617 66000000.0 0.19 B "18.656521057  -   21.492402391" "3s2.3p4.(3P).3d    | 2D    | 3/2" "3s2.3p4.(1D).4p    | 2D*   | 3/2" "" T926 L11520
4372.55689 4372.55693 22869.9138 355 22100000.0 0.0422 B "16.42557623   -   19.261084163" "3s2.3p4.(3P).3d    | 4D    | 5/2" "3s2.3p4.(3P).4p    | 4P*   | 3/2" "" T926 L11520
4373.7175 4373.71833 22863.845 10 "" "" "" "19.680048951  -   22.514803938" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "3s2.3p4.(3P).5s    | 4P    | 5/2" "" "" L11520
4376.0867 4376.0871 22851.467 30 "" "" "" "19.867157038  -   22.700377572" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "3s2.3p4.(3P).5s    | 2P    | 3/2" "" "" L11520
