Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
5124.399 5124.4084 19514.48 2 "" "" "" "23.87401512   -   26.29349829" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<0>).6f | 2[3]* | 7/2" "" "" L14821
5127.1945 5127.1942 19503.844 17 "" "" "" "21.42814610   -   23.84631466" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(1S).4p    | 2P*   | 1/2" "" "" L11520
5130.512 5130.5209 19491.23 2 "" "" "" "23.570177223  -   25.98677781" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).6d    | 2P    | 3/2" "" "" L14821
5132.536 5132.52569 19483.55 1 "" "" "" "23.404027598  -   25.81968425" "3s2.3p4.(3P).5p    | 4P*   | 5/2" "3s2.3p4.(3P).7s    | 2P    | 3/2" "" "" L14821
5133.575 5133.57524 19479.6 2 "" "" "" "23.01454553   -   25.42970831" "3s2.3p4.(3P).4d    | 4F    | 7/2" "3s2.3p4.(3P<2>).5f | 2[5]* | 9/2" "" "" L14821
5143.21509 5143.21509 19443.0912 224 8100000.0 0.043 A "18.732439371  -   21.143075448" "3s2.3p4.(3P).3d    | 2D    | 5/2" "3s2.3p4.(1D).4p    | 2F*   | 7/2" "" T926 L11520
5146.74143 5146.74158 19429.7694 162 10600000.0 0.0631 B "17.140027439  -   19.549011775" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "" T926 L11520
5154.296 5154.296 19401.2915 5 "" "" "" "23.58132422   -   25.98677781" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "3s2.3p4.(3P).6d    | 2P    | 3/2" "" "" L2634
5160.942 5160.94961 19376.31 1 "" "" "" "22.700377572  -   25.102730005" "3s2.3p4.(3P).5s    | 2P    | 3/2" "3s2.3p4.(3P).6p    | 4D*   | 3/2" "" "" L14821
5162.25 5162.26397 19371.41 0bl "" "" "" "23.01454553   -   25.41628630" "3s2.3p4.(3P).4d    | 4F    | 7/2" "3s2.3p4.(3P<2>).5f | 2[3]* | 7/2" "" "" L14821
5164.1848 5164.1843 19364.141 14 "" "" "" "21.492402391  -   23.89325004" "3s2.3p4.(1D).4p    | 2D*   | 3/2" "3s2.3p4.(3P).4d    | 2D    | 3/2" "" "" L11520
5167.2116 5167.2118 19352.7976 48 "" "" "" "19.867157038  -   22.26659804" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "3s2.3p4.(1S).3d    | 2D    | 5/2" "" "" L11520
5176.867 5176.85621 19316.7 2 "" "" "" "23.162238164  -   25.55720904" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(3P<1>).5f | 2[4]* | 9/2" "" "" L14821
5177.6707 5177.67068 19313.7043 26 1700000.0 0.0068 B "18.732439371  -   21.127033505" "3s2.3p4.(3P).3d    | 2D    | 5/2" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "" T926 L11520
5180.68 5180.70445 19302.48 0h "" "" "" "22.683065435  -   25.076257320" "3s2.3p4.(3P).5s    | 4P    | 1/2" "3s2.3p4.(3P).6p    | 4P*   | 3/2" "" "" L14821
5184.53 5184.52368 19288.14 1bl,i "" "" "" "23.438088809  -   25.82951773" "3s2.3p4.(3P).5p    | 4P*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 1/2" "" "" L14821
5192.8113 5192.81134 19257.392 10 "" "" "" "23.48728630   -   25.87489852" "3s2.3p4.(3P).5p    | 4P*   | 1/2" "3s2.3p4.(3P).6d    | 4P    | 3/2" "" "" L11520
5203.642 5203.6414 19217.311 5 "" "" "" "23.58132422   -   25.96396722" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "3s2.3p4.(3P).6d    | 2D    | 3/2" "" "" L11520
5205.8924 5205.8925 19209.0026 7 "" "" "" "21.492402391  -   23.87401512" "3s2.3p4.(1D).4p    | 2D*   | 3/2" "3s2.3p4.(3P).4d    | 2D    | 5/2" "" "" L2634
5216.56 5216.54673 19169.71 0.5 16000.0 6.5e-05 E "17.265833524  -   19.64258207" "3s2.3p4.(3P).4s    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 4D*   | 1/2" "" T997n L14821
5218.2665 5218.26649 19163.4522 28 "" "" "" "21.498049871  -   23.87401512" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "3s2.3p4.(3P).4d    | 2D    | 5/2" "" "" L11520
5221.042 5221.04835 19153.26 1 "" "" "" "22.83687165   -   25.211570947" "3s2.3p4.(3P).4d    | 4D    | 1/2" "3s2.3p4.(3P).6p    | 2D*   | 3/2" "" "" L14821
5223.318 5223.3161 19144.92 6 "" "" "" "21.42814610   -   23.80181442" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "" "" L11520
5231.9569 5231.9587 19113.307 6 "" "" "" "23.682522355  -   26.05226965" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).6d    | 2D    | 5/2" "" "" L11520
5232.21 5232.246 19112.4 0.5 "" "" "" "23.87401512   -   26.2436324" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<1>).6f | 2[3]* | 5/2" "" "" L14821
5237.49 5237.47714 19093.12 1 "" "" "" "22.802509716  -   25.169760115" "3s2.3p4.(3P).5s    | 2P    | 1/2" "3s2.3p4.(1D).5p    | 2P*   | 3/2" "" "" L14821
5237.689 5237.68979 19092.39 2bl "" "" "" "23.570177223  -   25.93733151" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).6d    | 4P    | 5/2" "" "" L14821
5238.311 5238.3212 19090.12 1 "" "" "" "23.619908872  -   25.98677781" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).6d    | 2P    | 3/2" "" "" L14821
5239.38 5239.3792 19086.23 0 "" "" "" "23.620386781  -   25.98677781" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).6d    | 2P    | 3/2" "" "" L14821
5243.245 5243.24804 19072.16 2 "" "" "" "23.58132422   -   25.94596914" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "3s2.3p4.(3P).6d    | 4F    | 3/2" "" "" L14821
5246.55 5246.5276 19060.14 1 "" "" "" "24.15215486   -   26.5153217" "3s2.3p4.(3P<2>).4f | 2[4]* | 9/2" "3s2.3p4.(3P<2>).7g | 2[4]  | 9/2" "" "" L14821
5246.8379 5246.8381 19059.099 7 "" "" "" "24.15215486   -   26.5151818" "3s2.3p4.(3P<2>).4f | 2[4]* | 9/2" "3s2.3p4.(3P<2>).7g | 2[5]  | 11/2" "" "" L11520
5248.93 5248.932 19051.5 1 "" "" "" "24.15487223   -   26.5169564" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<2>).7g | 2[3]  | 7/2" "" "" L14821
5249.447 5249.4474 19049.63 3 "" "" "" "23.87401512   -   26.23586749" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<1>).6f | 2[4]* | 7/2" "" "" L14821
5251.0069 5251.0068 19043.967 11 "" "" "" "23.48728630   -   25.84843727" "3s2.3p4.(3P).5p    | 4P*   | 1/2" "3s2.3p4.(3P).6d    | 4P    | 1/2" "" "" L11520
5252.03 5252.023 19040.25 0 "" "" "" "23.514204395  -   25.87489852" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "3s2.3p4.(3P).6d    | 4P    | 3/2" "" "" L14821
5252.5667 5252.5674 19038.3114 12 "" "" "" "24.15487223   -   26.5153217" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<2>).7g | 2[4]  | 9/2" "" "" L11520
5252.8646 5252.8643 19037.232 11 "" "" "" "24.15487223   -   26.5151883" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<2>).7g | 2[5]  | 9/2" "" "" L11520
5253.6 5253.59759 19034.57 1 "" "" "" "23.258113744  -   25.61810033" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(3P<0>).5f | 2[3]* | 7/2" "" "" L14821
5256.85 5256.8594 19022.79 0.5 "" "" "" "23.08230349   -   25.44082574" "3s2.3p4.(3P).4d    | 4P    | 1/2" "3s2.3p4.(3P<2>).5f | 2[1]* | 3/2" "" "" L14821
5257.14 5257.12813 19021.75 1* "" "" "" "22.81135843   -   25.169760115" "3s2.3p4.(3P).4d    | 4D    | 3/2" "3s2.3p4.(1D).5p    | 2P*   | 3/2" "" "" L14821
5257.14 5257.143 19021.75 1* "" "" "" "24.814064898  -   27.172460" "3s2.3p4.(1D).4d    | 2F    | 7/2" "3s2.3p4.(1D<2>).5f | 2[3]* | 7/2" "" "" L14821
5257.14 5257.144 19021.75 1* "" "" "" "24.79461100   -   27.153006" "3s2.3p4.(1D).4d    | 2D    | 3/2" "3s2.3p4.(1D<2>).5f | 2[2]* | 3/2" "" "" L14821
5258.0279 5258.0267 19018.537 8 "" "" "" "23.514204395  -   25.87220304" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "3s2.3p4.(3P).6d    | 4F    | 5/2" "" "" L11520
5259.687 5259.712 19012.54 1 "" "" "" "24.15972864   -   26.5169717" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<2>).7g | 2[3]  | 5/2" "" "" L14821
5260.638 5260.644 19009.1 1 "" "" "" "23.08230349   -   25.43912897" "3s2.3p4.(3P).4d    | 4P    | 1/2" "3s2.3p4.(3P<2>).5f | 2[1]* | 1/2" "" "" L14821
5263.3632 5263.3626 18999.259 7 "" "" "" "24.15972864   -   26.5153368" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<2>).7g | 2[4]  | 7/2" "" "" L2634
5265.77 5265.767 18990.57 1 "" "" "" "24.16242396   -   26.5169564" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<2>).7g | 2[3]  | 7/2" "" "" L14821
5266.2472 5266.2477 18988.854 17 "" "" "" "23.54889313   -   25.90321077" "3s2.3p4.(3P).4d    | 2P    | 1/2" "3s2.3p4.(1D<2>).4f | 2[2]* | 3/2" "" "" L11520
5268.6293 5268.6309 18980.269 14 "" "" "" "23.404027598  -   25.75728027" "3s2.3p4.(3P).5p    | 4P*   | 5/2" "3s2.3p4.(3P).6d    | 4D    | 5/2" "" "" L11520
5269.424 5269.4258 18977.41 3 "" "" "" "24.16242396   -   26.5153217" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<2>).7g | 2[4]  | 9/2" "" "" L14821
5269.712 5269.7246 18976.37 3 "" "" "" "24.16242396   -   26.5151883" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<2>).7g | 2[5]  | 9/2" "" "" L14821
5271.228 5271.2235 18970.914 4 "" "" "" "23.438088809  -   25.79018407" "3s2.3p4.(3P).5p    | 4P*   | 3/2" "3s2.3p4.(3P).6d    | 4D    | 3/2" "" "" L11520
5275.048 5275.065 18957.17 1 "" "" "" "23.89325004   -   26.2436324" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(3P<1>).6f | 2[3]* | 5/2" "" "" L14821
5275.32 5275.3381 18956.2 0.5 "" "" "" "23.702008951  -   26.05226965" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).6d    | 2D    | 5/2" "" "" L14821
5283.0992 5283.0992 18928.2835 21 "" "" "" "23.404027598  -   25.75083567" "3s2.3p4.(3P).5p    | 4P*   | 5/2" "3s2.3p4.(3P).6d    | 4D    | 7/2" "" "" L11520
5284.907 5284.92723 18921.81 1bl "" "" "" "23.070289982  -   25.41628630" "3s2.3p4.(3P).4d    | 4F    | 5/2" "3s2.3p4.(3P<2>).5f | 2[3]* | 7/2" "" "" L14821
5286.909 5286.90098 18914.64 2 "" "" "" "22.82463962   -   25.169760115" "3s2.3p4.(1D).3d    | 2S    | 1/2" "3s2.3p4.(1D).5p    | 2P*   | 3/2" "" "" L14821
5288.3577 5288.35803 18909.462 18 200000.0 0.0017 C "17.265833524  -   19.61030789" "3s2.3p4.(3P).4s    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "" T926 L11520
5290.106 5290.10712 18903.21 1 "" "" "" "23.070289982  -   25.41398919" "3s2.3p4.(3P).4d    | 4F    | 5/2" "3s2.3p4.(3P<2>).5f | 2[3]* | 5/2" "" "" L14821
5291.5271 5291.5273 18898.136 9 "" "" "" "24.31038415   -   26.6534543" "3s2.3p4.(3P<1>).4f | 2[2]* | 3/2" "3s2.3p4.(3P<1>).7g | 2[3]  | 5/2" "" "" L11520
5292.46 5292.479 18894.8 0.5p "" "" "" "24.17649235   -   26.519141" "3s2.3p4.(3P<2>).4f | 2[2]* | 3/2" "3s2.3p4.(3P<2>).7g | 2[2]  | 3/2" "" "" L14821
5293.44 5293.4222 18891.3 0.5 "" "" "" "23.48728630   -   25.82951773" "3s2.3p4.(3P).5p    | 4P*   | 1/2" "3s2.3p4.(3P).7s    | 4P    | 1/2" "" "" L14821
5295.2887 5295.2885 18884.712 6 "" "" "" "24.31205385   -   26.6534598" "3s2.3p4.(3P<1>).4f | 2[2]* | 5/2" "3s2.3p4.(3P<1>).7g | 2[3]  | 7/2" "" "" L11520
5297.366 5297.385 18877.31 3 "" "" "" "24.17649235   -   26.5169717" "3s2.3p4.(3P<2>).4f | 2[2]* | 3/2" "3s2.3p4.(3P<2>).7g | 2[3]  | 5/2" "" "" L14821
5297.862 5297.8622 18875.539 7 "" "" "" "24.313723219  -   26.6539917" "3s2.3p4.(3P<1>).4f | 2[4]* | 9/2" "3s2.3p4.(3P<1>).7g | 2[5]  | 11/2" "" "" L11520
5298.265 5298.2687 18874.1 3 "" "" "" "23.89325004   -   26.23333896" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(3P<1>).6f | 2[2]* | 5/2" "" "" L14821
5299.475 5299.47405 18869.79 2 "" "" "" "23.619908872  -   25.95946554" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).6d    | 2F    | 5/2" "" "" L11520
5300.5549 5300.55681 18865.949 5 "" "" "" "23.620386781  -   25.95946554" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).6d    | 2F    | 5/2" "" "" L2634
5300.95 5300.967 18864.53 0 "" "" "" "23.64788005   -   25.98677781" "3s2.3p4.(3P).5p    | 4D*   | 1/2" "3s2.3p4.(3P).6d    | 2P    | 3/2" "" "" L14821
5302.2493 5302.25 18859.92 8 "" "" "" "24.31566967   -   26.6540015" "3s2.3p4.(3P<1>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<1>).7g | 2[5]  | 9/2" "" "" L11520
5304.04 5304.04477 18853.57 0 "" "" "" "23.103285166  -   25.44082574" "3s2.3p4.(3P).4d    | 4F    | 3/2" "3s2.3p4.(3P<2>).5f | 2[1]* | 3/2" "" "" L14821
5307.1618 5307.159 18842.463 15* "" "" "" "24.18078735   -   26.5169564" "3s2.3p4.(3P<2>).4f | 2[2]* | 5/2" "3s2.3p4.(3P<2>).7g | 2[3]  | 7/2" "" "" L11520
5307.1618 5307.1641 18842.463 15* "" "" "" "19.972538226  -   22.30870487" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "3s2.3p4.(1S).3d    | 2D    | 3/2" "" "" L11520
5309.551 5309.5477 18833.99 5 "" "" "" "21.36689104   -   23.702008951" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "" "" L14821
5313.4594 5313.4595 18820.131 5 "" "" "" "24.37801682   -   26.7114156" "3s2.3p4.(3P<0>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<0>).7g | 2[4]  | 9/2" "" "" L11520
5313.556 5313.5558 18819.788 5 "" "" "" "24.37801682   -   26.7113733" "3s2.3p4.(3P<0>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<0>).7g | 2[4]  | 7/2" "" "" L11520
5315.736 5315.73945 18812.07 2 "" "" "" "23.48728630   -   25.81968425" "3s2.3p4.(3P).5p    | 4P*   | 1/2" "3s2.3p4.(3P).7s    | 2P    | 3/2" "" "" L14821
5316.694 5316.7014 18808.68 4bl "" "" "" "24.37939735   -   26.7113733" "3s2.3p4.(3P<0>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<0>).7g | 2[4]  | 7/2" "" "" L11520
5317.59 5317.562 18805.52 0* "" "" "" "23.63042494   -   25.962023" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P).7p    | 1*    | 3/2" "" "" L14821
5317.59 5317.585 18805.52 0* "" "" "" "23.63042494   -   25.962013" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P).7p    | 1*    | 5/2" "" "" L14821
5330.24 5330.22296 18760.88 1bl "" "" "" "23.619908872  -   25.94596914" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).6d    | 4F    | 3/2" "" "" L14821
5331.1818 5331.1816 18757.567 10 "" "" "" "24.19224889   -   26.5178909" "3s2.3p4.(3P<2>).4f | 2[5]* | 11/2" "3s2.3p4.(3P<2>).7g | 2[6]  | 13/2" "" "" L11520
5332.147 5332.12816 18754.17 3bl,i,G "" "" "" "22.77287965   -   25.098108804" "3s2.3p4.(3P).4d    | 4D    | 7/2" "3s2.3p4.(3P).6p    | 4D*   | 7/2" "" "" L14821
5332.525 5332.5246 18752.844 6 "" "" "" "24.19283498   -   26.5178912" "3s2.3p4.(3P<2>).4f | 2[5]* | 9/2" "3s2.3p4.(3P<2>).7g | 2[6]  | 11/2" "" "" L11520
5334.18 5334.19884 18747.01 0 "" "" "" "22.78797918   -   25.11230570" "3s2.3p4.(3P).4d    | 4D    | 5/2" "3s2.3p4.(3P).6p    | 4D*   | 5/2" "" "" L14821
5336.6 5336.58609 18738.51 0.5 "" "" "" "23.103285166  -   25.42657193" "3s2.3p4.(3P).4d    | 4F    | 3/2" "3s2.3p4.(3P<2>).5f | 2[2]* | 5/2" "" "" L14821
5337.4 5337.399 18735.71 1 "" "" "" "24.19224889   -   26.5151818" "3s2.3p4.(3P<2>).4f | 2[5]* | 11/2" "3s2.3p4.(3P<2>).7g | 2[5]  | 11/2" "" "" L14821
5338.735 5338.7311 18731.03 1 "" "" "" "24.19283498   -   26.5151883" "3s2.3p4.(3P<2>).4f | 2[5]* | 9/2" "3s2.3p4.(3P<2>).7g | 2[5]  | 9/2" "" "" L14821
5339.591 5339.5856 18728.03 1 "" "" "" "23.484470418  -   25.80645208" "3s2.3p4.(3P).5p    | 4D*   | 7/2" "3s2.3p4.(3P).6d    | 4F    | 7/2" "" "" L14821
5340.82 5340.81403 18723.73 1 "" "" "" "23.11937815   -   25.44082574" "3s2.3p4.(3P).4d    | 4P    | 3/2" "3s2.3p4.(3P<2>).5f | 2[1]* | 3/2" "" "" L14821
5344.75 5344.7206 18709.96 0? "" "" "" "23.11937815   -   25.43912897" "3s2.3p4.(3P).4d    | 4P    | 3/2" "3s2.3p4.(3P<2>).5f | 2[1]* | 1/2" "" "" L14821
5346.0093 5346.0096 18705.542 7 "" "" "" "23.438088809  -   25.75728027" "3s2.3p4.(3P).5p    | 4P*   | 3/2" "3s2.3p4.(3P).6d    | 4D    | 5/2" "" "" L11520
5347.096 5347.0834 18701.74 1 "" "" "" "19.30534490   -   21.62407061" "3s2.3p4.(3P).4p    | 4P*   | 1/2" "3s2.3p4.(1D).3d    | 2P    | 3/2" "" "" L14821
5349.7511 5349.7509 18692.458 13 "" "" "" "24.33873405   -   26.6563036" "3s2.3p4.(3P<1>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<1>).7g | 2[4]  | 9/2" "" "" L11520
5350.092 5350.09007 18691.27 2 "" "" "" "23.619908872  -   25.93733151" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).6d    | 4P    | 5/2" "" "" L14821
5351.205 5351.19362 18687.38 2 "" "" "" "23.620386781  -   25.93733151" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).6d    | 4P    | 5/2" "" "" L14821
5352.937 5352.921 18681.33 4l "" "" "" "24.34003126   -   26.656228" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<1>).7g | 2[4]  | 7/2" "" "" L14821
5356.31 5356.3235 18669.57 1 "" "" "" "24.33873405   -   26.6534598" "3s2.3p4.(3P<1>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<1>).7g | 2[3]  | 7/2" "" "" L14821
5359.3 5359.2657 18659.15 1* "" "" "" "23.63042494   -   25.94387988" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(1D<2>).4f | 2[3]* | 5/2" "" "" L14821
5359.3 5359.327 18659.15 1* "" "" "" "24.34003126   -   26.6534598" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<1>).7g | 2[3]  | 7/2" "" "" L14821
5359.3 5359.3396 18659.15 1* "" "" "" "24.34003126   -   26.6534543" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<1>).7g | 2[3]  | 5/2" "" "" L14821
5359.8699 5359.8692 18657.169 14 "" "" "" "23.54889313   -   25.86208761" "3s2.3p4.(3P).4d    | 2P    | 1/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 1/2" "" "" L11520
5360.106 5360.11944 18656.35 2 "" "" "" "23.258113744  -   25.57120023" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(3P<1>).5f | 2[3]* | 7/2" "" "" L14821
5360.5561 5360.5575 18654.781 6 "" "" "" "23.67388033   -   25.98677781" "3s2.3p4.(3P).5p    | 2S*   | 1/2" "3s2.3p4.(3P).6d    | 2P    | 3/2" "" "" L2634
5365.634 5365.64603 18637.13 1 "" "" "" "23.103285166  -   25.41398919" "3s2.3p4.(3P).4d    | 4F    | 3/2" "3s2.3p4.(3P<2>).5f | 2[3]* | 5/2" "" "" L14821
5366.977 5366.98015 18632.46 1 "" "" "" "22.78797918   -   25.098108804" "3s2.3p4.(3P).4d    | 4D    | 5/2" "3s2.3p4.(3P).6p    | 4D*   | 7/2" "" "" L14821
5373.501 5373.499 18609.84 2 "" "" "" "24.21181411   -   26.519141" "3s2.3p4.(3P<2>).4f | 2[1]* | 1/2" "3s2.3p4.(3P<2>).7g | 2[2]  | 3/2" "" "" L14821
5373.82 5373.8095 18608.72 0 "" "" "" "23.11937815   -   25.42657193" "3s2.3p4.(3P).4d    | 4P    | 3/2" "3s2.3p4.(3P<2>).5f | 2[2]* | 5/2" "" "" L14821
5378.1298 5378.1298 18593.824 12 "" "" "" "24.21382629   -   26.5191667" "3s2.3p4.(3P<2>).4f | 2[1]* | 3/2" "3s2.3p4.(3P<2>).7g | 2[2]  | 5/2" "" "" L11520
5379.572 5379.57446 18588.838 7 "" "" "" "23.570177223  -   25.87489852" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).6d    | 4P    | 3/2" "" "" L11520
5380.44 5380.40815 18585.86 0 "" "" "" "23.11937815   -   25.42374234" "3s2.3p4.(3P).4d    | 4P    | 3/2" "3s2.3p4.(3P<2>).5f | 2[2]* | 3/2" "" "" L14821
5380.6624 5380.662 18585.073 2 "" "" "" "23.682522355  -   25.98677781" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).6d    | 2P    | 3/2" "" "" L2634
5383.827 5383.8342 18574.15 2 "" "" "" "23.48728630   -   25.79018407" "3s2.3p4.(3P).5p    | 4P*   | 1/2" "3s2.3p4.(3P).6d    | 4D    | 3/2" "" "" L14821
5385.8713 5385.8735 18567.098 8 "" "" "" "23.570177223  -   25.87220304" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).6d    | 4F    | 5/2" "" "" L11520
5388.017 5388.02222 18559.7 2 "" "" "" "23.258113744  -   25.55922152" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(3P<1>).5f | 2[4]* | 7/2" "" "" L14821
5392.72 5392.72995 18543.52 0 "" "" "" "19.96749907   -   22.26659804" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "3s2.3p4.(1S).3d    | 2D    | 5/2" "" "" L14821
5395.1011 5395.09974 18535.334 8 "" "" "" "23.64788005   -   25.94596914" "3s2.3p4.(3P).5p    | 4D*   | 1/2" "3s2.3p4.(3P).6d    | 4F    | 3/2" "" "" L11520
5396.31 5396.35161 18531.18 1 "" "" "" "23.258113744  -   25.55566971" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(3P<1>).5f | 2[2]* | 5/2" "" "" L14821
5399.0171 5399.01831 18521.89 35 "" "" "" "23.484470418  -   25.78089157" "3s2.3p4.(3P).5p    | 4D*   | 7/2" "3s2.3p4.(3P).6d    | 4F    | 9/2" "" "" L11520
5402.12 5402.14251 18511.25 1 "" "" "" "23.404027598  -   25.69912067" "3s2.3p4.(3P).5p    | 4P*   | 5/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L14821
5403.672 5403.6729 18505.93 1 "" "" "" "22.802509716  -   25.09695279" "3s2.3p4.(3P).5s    | 2P    | 1/2" "3s2.3p4.(3P).6p    | 4P*   | 1/2" "" "" L14821
5404.1071 5404.10795 18504.444 15 "" "" "" "23.620386781  -   25.91464514" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).6d    | 2F    | 7/2" "" "" L11520
5408.8481 5408.84824 18488.225 24 "" "" "" "23.514204395  -   25.80645208" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "3s2.3p4.(3P).6d    | 4F    | 7/2" "" "" L11520
5410.905 5410.91632 18481.2 1 "" "" "" "22.81135843   -   25.102730005" "3s2.3p4.(3P).4d    | 4D    | 3/2" "3s2.3p4.(3P).6p    | 4D*   | 3/2" "" "" L14821
5413.15 5413.16065 18473.53 3 "" "" "" "22.77287965   -   25.063301207" "3s2.3p4.(3P).4d    | 4D    | 7/2" "3s2.3p4.(3P).6p    | 4P*   | 5/2" "" "" L14821
5413.9511 5413.9517 18470.798 6 "" "" "" "23.67388033   -   25.96396722" "3s2.3p4.(3P).5p    | 2S*   | 1/2" "3s2.3p4.(3P).6d    | 2D    | 3/2" "" "" L2634
5418.216 5418.23112 18456.26 1 "" "" "" "22.78797918   -   25.076257320" "3s2.3p4.(3P).4d    | 4D    | 5/2" "3s2.3p4.(3P).6p    | 4P*   | 3/2" "" "" L14821
5426.54 5426.5532 18427.96 0 "" "" "" "23.702008951  -   25.98677781" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).6d    | 2P    | 3/2" "" "" L14821
5434.45 5434.4596 18401.13 1 "" "" "" "23.682522355  -   25.96396722" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).6d    | 2D    | 3/2" "" "" L14821
5441.188 5441.18464 18378.34 3 "" "" "" "21.351799846  -   23.63042494" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "3s2.3p4.(3P).4d    | 2P    | 3/2" "" "" L14821
5442.036 5442.0565 18375.48 1 "" "" "" "23.570177223  -   25.84843727" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).6d    | 4P    | 1/2" "" "" L14821
5442.444 5442.46177 18374.1 2 "" "" "" "22.82463962   -   25.102730005" "3s2.3p4.(1D).3d    | 2S    | 1/2" "3s2.3p4.(3P).6p    | 4D*   | 3/2" "" "" L14821
