Observed Rel.
4712.8 100.0
4714.3397 700.0
4715.1248 300.0
4715.258 300.0
4715.344 15000.0
4717.6085 700.0
4721.5337 700.0
4722.15 50.0
4722.714 150.0
4724.162 50.0
4725.145 700.0
4749.5754 3000.0
4750.6826 300.0
4751.802 300.0
4752.732 5000.0
4754.44 1000.0
4758.728 1500.0
4780.338 3000.0
4780.884 300.0
4788.9258 10000.0
4789.5982 1000.0
4790.2195 5000.0
4790.728 300.0
4800.111 150.0
4802.363 100.0
4809.5 100.0
4810.064 1500.0
4810.6392 1000.0
4814.338 500.0
4817.6386 3000.0
4818.7847 1500.0
4819.937 700.0
4821.9218 3000.0
4823.1725 1000.0
4823.37 500.0
4825.529 500.0
4827.338 10000.0
4827.587 3000.0
4829.288 50.0
4837.3139 5000.0
4842.566 100.0
4842.941 500.0
4845.145 150.0
4845.767 50.0
4849.53 300.0
4851.501 600.0
4852.655 1000.0
4859.604 150.0
4863.081 1000.0
4864.3729 300.0
4865.5065 1000.0
4866.476 800.0
4867.0189 700.0
4868.2766 700.0
4883.403 150.0
4884.917 10000.0
4885.0971 1000.0
4888.365 50.0
4892.09 5000.0
4892.228 100.0
4897.924 700.0
4899.013 500.0
4928.235 700.0
4930.944 500.0
4939.041 1000.0
4944.987 1000.0
4955.3905 1500.0
4957.0335 10000.0
4957.122 1500.0
4973.5555 1000.0
4974.76 500.0
4975.961 100.0
4979.625 50.0
4994.93 1500.0
4997.482 150.0
4998.502 100.0
5005.1587 5000.0
5005.3467 500.0
5011.003 250.0
5015.187 50.0
5022.87 250.0
5031.3484 2500.0
5036.0016 350.0
5037.7512 5000.0
5042.853 150.0
5045.816 150.0
5052.9443 250.0
5074.2007 350.0
5076.5971 350.0
5078.7693 150.0
5080.383 1500.0
5081.36 150.0
5083.9773 250.0
5090.321 80.0
5099.0522 250.0
5104.7011 350.0
5113.6724 750.0
5116.5032 1500.0
5117.0246 350.0
5120.5059 250.0
5122.2565 1500.0
5122.3613 1500.0
5143.265 50.0
5144.9384 5000.0
5145.011 5000.0
5145.1351 350.0
5150.0842 350.0
5151.961 750.0
5154.4271 500.0
5156.6672 500.0
5158.9018 500.0
5163.4847 100.0
5188.6122 1500.0
5191.3223 350.0
5193.1251 1500.0
5193.224 1500.0
5203.8962 1500.0
5208.8648 700.0
5210.5672 500.0
5214.3389 350.0
5222.3517 500.0
5234.0271 500.0
5274.0393 400.0
5280.0853 500.0
5298.1891 1500.0
5304.758 700.0
