obs_wl_air(A)	unc_obs_wl	intens	Aki(s^-1)	fik	Acc	Type
5041.598	0.020	10				
5042.853	0.020	150				
5045.816	0.020	150				
5046.608	0.020	30				
5052.9443	0.0030	250				
5059.150	0.020	20				
5074.0459	0.0030	30	6.0e+04	3.24e-04	C	
5074.2007	0.0004	350	1.42e+06	5.50e-03	C+	
5076.5971	0.0030	350	2.86e+05	6.6e-04	C	
5078.7693	0.0030	150	8.6e+04	3.32e-04	C	
5080.3830	0.0010	1500	3.39e+06	1.84e-02	C+	
5081.360	0.020	150				
5083.9773	0.0030	250	1.25e+05	2.90e-04	C	
5090.321	0.020	80				
5099.0522	0.0030	250				
5104.7011	0.0004	350				
5113.6724	0.0004	750	8.67e+05	3.40e-03	C+	
5116.5032	0.0004	1500	2.59e+06	1.69e-02	C+	
5117.0246	0.0030	350	9.6e+04	6.3e-04	C	
5120.5059	0.0030	250	3.47e+05	1.37e-03	C	
5121.866	0.020	20				
5122.2565	0.0004	1500	1.96e+06	1.28e-02	C+	
5122.3613	0.0030	1500	6.30e+05	4.13e-03	C+	
5128.280	0.020	20				
5143.265	0.020	50				
5144.9384	0.0004	5000	3.29e+06	1.83e-02	C+	
5145.011	0.020	5000				
5145.1351	0.0030	350	7.81e+05	3.10e-03	C+	
5150.0842	0.0030	350				
5151.9610	0.0004	750	1.71e+06	1.13e-02	C+	
5154.4271	0.0004	500	1.29e+06	5.13e-03	C+	
5156.6672	0.0004	500	1.51e+05	1.00e-03	C	
5158.9018	0.0004	500	1.12e+06	1.34e-02	C+	
5163.4847	0.0030	100	4.08e+05	5.4e-04	C	
5182.320	0.020	20				
5188.6122	0.0004	1500				
5191.3223	0.0004	350	8.66e+05	3.50e-03	C+	
5193.1251	0.0030	1500	9.15e+05	6.17e-03	C+	
5193.2240	0.0010	1500	1.58e+06	1.07e-02	C+	
5203.8962	0.0004	1500	2.31e+06	1.32e-02	C+	
5206.565	0.020	30				
5208.8648	0.0004	700	1.43e+06	5.84e-03	C+	
5210.5672	0.0004	500	4.38e+05	2.50e-03	C+	
5214.3389	0.0004	350	4.39e+05	1.07e-03	C	
5222.3517	0.0004	500				
5234.0271	0.0004	500				
5274.0393	0.0004	400				
5280.0853	0.0004	500				
5298.1891	0.0004	1500				
5304.7580	0.0004	700				
5314.7851	0.0030	300				
5316.8046	0.0030	250				
5320.550	0.020	20				
5326.3960	0.0010	750	5.49e+05	2.34e-03	C+	
5330.6720	0.0030	5	6.94e+05	4.93e-03	C+	
5330.7775	0.0004	6000	5.30e+06	3.77e-02	C+	
5333.3083	0.0030	500	4.70e+05	2.00e-03	C+	
5335.710	0.020	100	5.2e+04	3.73e-04	C	
5341.0938	0.0004	10000	7.74e+06	3.31e-02	C+	
5342.700	0.020	10				
5343.0048	0.0030	100				
5343.2834	0.0004	6000	9.76e+06	1.39e-02	C+	
5349.2038	0.0004	1500				
5353.513	0.020	50				
5355.1640	0.0030	1500	3.35e+05	2.02e-03	C+	
5355.3394	0.0030	50	1.18e+05	5.1e-04	C	
5355.4236	0.0030	1500				
5358.020	0.020	100				
5360.0121	0.0004	1500				
5360.4271	0.0030	350	1.89e+05	8.2e-04	C	
5362.2334	0.0030	250	6.9e+04	4.14e-04	C	
5366.2169	0.0030	250	8.7e+04	2.26e-04	C	
5372.3110	0.0004	750				
5374.9750	0.0010	500	6.44e+05	8.37e-03	C+	
5383.2457	0.0030	250	1.80e+05	2.35e-03	C	
5400.5616	0.0004	20000	9.00e+05	1.31e-03	B+	
5410.12	0.02	50				
5412.6490	0.0004	2500	3.01e+05	2.20e-03	C+	
5418.5584	0.0004	1500	3.78e+05	1.66e-03	C	
5420.155	0.020	500	4.33e+05	6.4e-04	C	
5433.6513	0.0004	2500	2.83e+05	1.25e-03	B+	
5447.120	0.020	80				
5448.5091	0.0004	1500	4.65e+05	6.90e-04	B+	
5494.4158	0.0004	500				
5507.3442	0.0030	250				
5511.176	0.020	30				
5511.485	0.020	150				
5520.63	0.02	30				
5533.6788	0.0004	750				
5538.6510	0.0004	500				
5559.0978	0.0030	350				
5562.4416	0.0030	1500	1.43e+05	6.7e-04	C	
5562.7662	0.0004	5000	9.88e+05	6.42e-03	C+	
5563.0531	0.0030	750	1.02e+05	4.72e-04	C	
5576.0394	0.0030	350				
5585.905	0.020	50				
5589.3472	0.0030	500				
5591.15	0.02	80				
5652.5664	0.0004	750	7.37e+05	3.53e-03	C+	
5656.0258	0.0030	750	3.66e+05	2.93e-03	C+	
5656.6588	0.0004	5000	2.95e+06	2.36e-02	C+	
5662.5489	0.0004	750	5.31e+05	2.55e-03	B+	
5684.647	0.020	250				
5689.8163	0.0004	1500	1.41e+06	1.14e-02	B+	
5715.3409	0.0030	350				
5718.8798	0.0030	1500	2.54e+05	1.25e-03	C+	
5719.2248	0.0004	5000	9.84e+05	6.76e-03	C+	
5719.5300	0.0030	750	1.96e+05	9.6e-04	C	
5748.2985	0.0004	5000	3.34e+06	1.66e-02	C+	
5748.6446	0.0030	700	2.53e+05	8.97e-04	C+	
5760.5885	0.0004	700	5.06e+05	1.80e-03	C+	
5764.0525	0.0030	30	5.50e+05	2.74e-03	C+	
5764.4188	0.0004	7000	1.12e+07	7.17e-02	B	
5770.3067	0.0030	500	4.04e+05	6.06e-03	C+	
5804.0900	0.0030	750	1.88e+05	1.33e-03	C+	
5804.4496	0.0004	5000	3.60e+06	1.82e-02	C+	
5811.4066	0.0004	3000	7.37e+05	2.24e-03	C+	
5816.6219	0.0030	500	1.73e+05	8.8e-04	C	
5820.1558	0.0004	5000	8.60e+06	6.12e-02	C+	
5828.9063	0.0030	750	2.87e+05	8.8e-04	C	
5852.4878	0.0005	20000	6.15e+07	1.053e-01	AA	
5868.4165	0.0030	750	8.26e+05	4.27e-03	C+	
5872.1450	0.0030	750	6.69e+05	5.77e-03	C+	
5872.8275	0.0004	5000	6.07e+06	5.23e-02	C+	
5881.8950	0.0005	10000	1.15e+07	3.58e-02	B+	
5898.3287	0.0030	200	2.01e+05	6.3e-04	C	
5902.0944	0.0030	30	7.35e+05	3.84e-03	C+	
5902.4623	0.0004	500	8.56e+06	6.26e-02	C+	
5902.7835	0.0004	50	1.25e+06	6.52e-03	C+	
5906.4294	0.0004	500	4.51e+06	3.93e-02	C+	
5913.6330	0.0010	2500	3.19e+06	1.67e-02	C+	
5918.9068	0.0004	2500	2.97e+06	4.68e-02	C+	
5919.0290	0.0040	80	4.15e+05	3.63e-03	C+	
5934.4522	0.0040	750	1.08e+06	1.90e-03	C+	
5939.3154	0.0040	500	2.00e+05	6.35e-04	B+	
5944.8340	0.0005	5000	1.13e+07	5.99e-02	B+	
5961.6228	0.0004	700	2.28e+06	1.22e-02	C+	
5965.4710	0.0004	5000	6.41e+06	5.70e-02	C+	
5966.1790	0.0040	350	2.42e+05	2.15e-03	C+	
5974.6273	0.0004	5000	6.06e+06	4.54e-02	C+	
5975.5343	0.0005	6000	3.51e+06	1.13e-02	B+	
5982.3753	0.0040	80	9.9e+04	3.18e-04	C	
5987.9074	0.0004	1500	3.63e+06	1.95e-02	C+	
5991.6477	0.0040	750	1.18e+06	8.92e-03	C+	
6000.9275	0.0004	1000	1.14e+06	3.70e-03	C+	
6029.9968	0.0005	10000	5.61e+06	3.06e-02	B+	
6042.013	0.020	150	1.56e+05	2.57e-03	C	
6046.1348	0.0004	500	2.26e+05	1.24e-03	B+	
6064.5359	0.0004	500	1.64e+06	3.02e-03	B+	
6074.3376	0.0005	10000	6.03e+07	1.11e-01	B+	
6096.1630	0.0005	3000	1.81e+07	1.68e-01	B+	
6118.0187	0.0040	150	6.09e+05	2.05e-03	B+	
6128.4498	0.0004	1000	6.70e+05	3.77e-03	B+	
6142.508	0.020	1000	1.64e+06	1.54e-02	C+	
6143.0627	0.0005	10000	2.82e+07	1.60e-01	B+	
6150.2985	0.0040	1000	1.33e+06	7.53e-03	C+	
6156.1380	0.0040	500	1.72e+05	1.63e-03	C	
6163.5937	0.0005	10000	1.46e+07	2.50e-01	B+	
6172.8156	0.0040	150	4.27e+05	8.1e-04	C	
6174.8829	0.0004	700	7.52e+05	6.02e-03	C+	
6175.2842	0.0040	500	3.00e+05	1.72e-03	C+	
6182.1460	0.0004	1500	3.72e+06	1.52e-02	B+	
6183.1575	0.0040	50	1.18e+05	4.06e-04	C	
6189.0649	0.0004	700	5.88e+05	3.38e-03	C+	
6193.0663	0.0004	500	1.80e+05	1.45e-03	C+	
6202.9740	0.0040	150	2.44e+05	8.4e-04	C	
6205.7775	0.0004	1000	1.52e+06	2.63e-02	C+	
6213.8758	0.0004	1500	2.85e+06	9.90e-03	B+	
6217.2812	0.0005	10000	6.37e+06	2.22e-02	B+	
6225.7350	0.0040	500	6.19e+05	1.08e-02	C+	
6246.7294	0.0004	1000	7.97e+05	4.67e-03	B+	
6249.593	0.020	50				
6252.732	0.020	20				
6258.7884	0.0040	1000	6.06e+05	5.93e-03	C+	
6266.4952	0.0005	10000	2.49e+07	4.40e-01	B+	
6273.0141	0.0040	700	9.94e+05	5.87e-03	C+	
6276.0327	0.0040	500	1.25e+06	2.46e-03	C+	
6293.7447	0.0004	1000	6.39e+05	3.80e-03	B+	
6304.7893	0.0005	1000	4.16e+06	4.13e-02	B+	
6313.6855	0.0040	1500	3.40e+06	6.78e-03	B+	
6328.1646	0.0004	3000	3.39e+06	1.22e-02	B+	
6330.8894	0.0040	1500	1.46e+06	8.78e-03	B+	
6334.4276	0.0005	10000	1.61e+07	9.69e-02	B+	
6351.8532	0.0040	1000	3.45e+05	6.26e-03	B+	
6364.9963	0.0040	1000	1.60e+05	1.62e-03	B+	
6382.9914	0.0005	10000	3.21e+07	1.96e-01	B+	
6401.076	0.020	1000	1.39e+06	8.54e-03	B+	
6402.2480	0.0010	20000	5.149e+07	4.432e-01	AAA	
6409.7469	0.0040	1500	1.41e+06	5.21e-03	B+	
6421.7044	0.0040	1000	2.10e+06	4.33e-03	B+	
6444.7118	0.0004	1500	1.16e+06	7.23e-03	B+	
6506.5277	0.0005	15000	3.00e+07	3.18e-01	B+	
6532.8824	0.0005	1000	1.08e+07	2.07e-01	B+	
6598.9528	0.0005	10000	2.32e+07	1.52e-01	B+	
6602.9007	0.0040	1000	4.76e+05	3.11e-03	B+	
6640.0095	0.0040	100	6.21e+04	6.85e-04	B+	
6640.80	0.02	50	3.80e+03	1.51e-05	C	
6652.0925	0.0004	1500	2.90e+05	6.42e-04	B	
6666.892	0.007	1000	3.57e+05	7.14e-03	B+	
6678.2766	0.0005	5000	2.33e+07	2.60e-01	B+	
6717.0430	0.0005	700	2.17e+07	1.47e-01	B+	
6721.1342	0.0050	20	5.15e+04	3.49e-04	B+	
